,timestamp,Ask,Bid,By on,Profits by Link,Volume,Total Profits in USDT,Cumulative of Total Profits in USDT
1897,2021-08-20 01:36:47,27.113,27.1147,Binance,0.0016999999999995907,0.51,0.0008669999999997913,173.24015244606503
1898,2021-08-20 01:36:48,27.113,27.1154,Binance,0.002400000000001512,3.08,0.007392000000004657,173.24754444606504
1899,2021-08-20 01:36:48,27.113,27.1153,Binance,0.002300000000001745,0.04,9.200000000006981e-05,173.24763644606503
1900,2021-08-20 01:36:48,27.113,27.1149,Binance,0.0018999999999991246,0.22,0.0004179999999998074,173.24805444606503
1901,2021-08-20 01:36:48,27.113,27.1147,Binance,0.0016999999999995907,0.51,0.0008669999999997913,173.24892144606503
1902,2021-08-20 01:36:49,27.118,27.1183,Binance,0.00030000000000285354,0.62,0.0001860000000017692,173.24910744606504
1903,2021-08-20 01:36:51,27.1224,27.124,Huobi,0.0015999999999998238,0.96,0.0015359999999998307,173.25064344606503
1904,2021-08-20 01:36:55,27.122,27.1226,Binance,0.0005999999999986017,0.32,0.00019199999999955253,173.25083544606503
1905,2021-08-20 01:36:59,27.124,27.1256,Binance,0.0015999999999998238,0.43,0.0006879999999999242,173.25152344606502
1906,2021-08-20 01:37:03,27.121,27.1212,Binance,0.0002000000000030866,0.93,0.00018600000000287056,173.25170944606504
1907,2021-08-20 01:37:04,27.119,27.1212,Binance,0.002200000000001978,0.93,0.0020460000000018397,173.25375544606504
1908,2021-08-20 01:37:15,27.136,27.137,Huobi,0.0010000000000012221,0.498,0.0004980000000006086,173.25425344606504
1909,2021-08-20 01:37:27,27.122,27.1241,Binance,0.0020999999999986585,0.85,0.0017849999999988598,173.25603844606505
1910,2021-08-20 01:37:28,27.124,27.1241,Binance,9.999999999976694e-05,0.85,8.49999999998019e-05,173.25612344606506
1911,2021-08-20 01:37:41,27.115,27.1154,Binance,0.0004000000000026205,3.08,0.001232000000008071,173.25735544606508
1912,2021-08-20 01:37:41,27.115,27.1153,Binance,0.00030000000000285354,0.04,1.2000000000114141e-05,173.25736744606508
1913,2021-08-20 01:37:43,27.116,27.1207,Binance,0.004699999999999704,0.23,0.001080999999999932,173.25844844606507
1914,2021-08-20 01:37:44,27.115,27.1207,Binance,0.0057000000000009265,0.23,0.0013110000000002133,173.25975944606506
1915,2021-08-20 01:37:44,27.115,27.1154,Binance,0.0004000000000026205,3.08,0.001232000000008071,173.26099144606508
1916,2021-08-20 01:37:44,27.115,27.1153,Binance,0.00030000000000285354,0.04,1.2000000000114141e-05,173.26100344606508
1917,2021-08-20 01:38:10,27.13,27.1301,Binance,9.999999999976694e-05,2.95,0.0002949999999993125,173.26129844606507
1918,2021-08-20 01:38:33,27.137,27.1414,Binance,0.004400000000000404,9.99,0.043956000000004034,173.30525444606508
1919,2021-08-20 01:38:40,27.142,27.1422,Binance,0.00019999999999953388,11.76,0.0023519999999945186,173.30760644606508
1920,2021-08-20 01:38:43,27.153,27.1551,Binance,0.002100000000002211,7.814,0.01640940000001728,173.3240158460651
1921,2021-08-20 01:38:44,27.153,27.1561,Binance,0.0030999999999998806,10.0,0.030999999999998806,173.3550158460651
1922,2021-08-20 01:38:44,27.153,27.1551,Binance,0.002100000000002211,9.99,0.02097900000002209,173.3759948460651
1923,2021-08-20 01:39:12,27.126,27.129,Binance,0.0030000000000001137,56.0,0.16800000000000637,173.54399484606512
1924,2021-08-20 01:39:13,27.128,27.1291,Binance,0.001100000000000989,2.4,0.0026400000000023735,173.54663484606513
1925,2021-08-20 01:39:13,27.128,27.129,Binance,0.0010000000000012221,56.0,0.05600000000006844,173.6026348460652
1926,2021-08-20 01:39:19,27.128,27.129,Binance,0.0010000000000012221,56.0,0.05600000000006844,173.65863484606527
1927,2021-08-20 01:40:09,27.116,27.1177,Binance,0.0016999999999995907,0.551,0.0009366999999997745,173.65957154606528
1928,2021-08-20 01:40:09,27.117,27.1177,Binance,0.0006999999999983686,4.159,0.002911299999993215,173.66248284606527
1929,2021-08-20 01:40:10,27.113,27.1177,Binance,0.004699999999999704,4.71,0.02213699999999861,173.68461984606526
1930,2021-08-20 01:40:11,27.113,27.1177,Binance,0.004699999999999704,4.71,0.02213699999999861,173.70675684606525
1931,2021-08-20 01:40:13,27.112,27.118,Binance,0.006000000000000227,4.71,0.02826000000000107,173.73501684606524
1932,2021-08-20 01:40:14,27.113,27.118,Binance,0.004999999999999005,4.71,0.023549999999995314,173.75856684606524
1933,2021-08-20 01:40:15,27.112,27.118,Binance,0.006000000000000227,4.71,0.02826000000000107,173.78682684606522
1934,2021-08-20 01:40:16,27.11,27.118,Binance,0.007999999999999119,0.485,0.0038799999999995726,173.79070684606523
1935,2021-08-20 01:40:16,27.114,27.118,Binance,0.003999999999997783,4.225,0.01689999999999063,173.80760684606523
1936,2021-08-20 01:40:22,27.112,27.115,Binance,0.0030000000000001137,5.0,0.015000000000000568,173.82260684606524
1937,2021-08-20 01:40:22,27.112,27.1138,Binance,0.0018000000000029104,0.45,0.0008100000000013097,173.82341684606524
1938,2021-08-20 01:40:23,27.112,27.115,Binance,0.0030000000000001137,5.0,0.015000000000000568,173.83841684606523
1939,2021-08-20 01:40:23,27.112,27.1138,Binance,0.0018000000000029104,0.45,0.0008100000000013097,173.83922684606523
1940,2021-08-20 01:40:43,27.109,27.1097,Binance,0.0006999999999983686,2.66,0.0018619999999956605,173.84108884606522
1941,2021-08-20 01:40:49,27.117,27.1188,Binance,0.0017999999999993577,0.949,0.0017081999999993902,173.84279704606521
1942,2021-08-20 01:40:50,27.117,27.1187,Binance,0.0016999999999995907,0.08899999999999997,0.0001512999999999635,173.8429483460652
1943,2021-08-20 01:40:50,27.117,27.1215,Binance,0.0045000000000001705,0.86,0.0038700000000001468,173.84681834606522
